words,count,sentiment
far,1,0
exce,1,0
imo,1,0
alloc,1,0
task,4,0
ever,4,0
saudi,3,0
arabia,3,0
bad,7,0
human,4,0
prove,3,0
prais,2,0
almighti,2,0
father,3,0
heaven,3,0
pray,4,0
believ,5,0
merci,2,0
tho,2,0
pro,4,0
lifer,2,0
dem,2,0
push,2,0
fund,4,0
abort,2,0
hyde,2,0
amend,2,0
dream,1,0
hello,1,0
bal,1,0
narendra,1,0
march,3,0
play,2,0
lad,1,0
modi,2,0
tfw,1,0
media,2,0
urgenc,1,0
interrupt,1,0
schule,1,0
repeat,1,0
encourag,2,0
cri,2,0
littl,3,0
babi,2,0
idiot,1,0
famili,5,0
isnt,1,0
weather,2,0
weren,2,0
anyth,1,0
nice,1,0
interact,1,0
hiv,1,0
aid,1,0
crazi,1,0
sole,1,0
import,1,0
distinct,1,0
vishal,3,0
dadlani,3,0
transport,1,0
robert,1,0
montagu,1,0
commut,1,0
public,5,0
custom,1,0
jutc,1,0
practic,2,0
proper,1,0
sanitizatio,1,0
unknown,1,0
amid,1,0
concern,2,0
laboratori,1,0
weapon,1,0
biolog,1,0
warfar,1,0
logic,1,0
alway,4,0
sudden,2,0
bound,1,0
meet,2,0
such,2,0
develop,1,0
curb,1,0
spici,1,0
key,4,0
honbl,1,0
observ,1,0
self,3,0
impos,2,0
disturb,2,0
unnecessari,1,0
suppli,2,0
essenti,1,0
solut,1,0
measur,1292,0
perhap,1,0
extinct,1,0
predict,1,0
syria,1,0
outsid,7,0
held,1,0
border,2,0
porou,1,0
sourc,4,0
celeb,1,0
view,1,0
full,1,0
prayer,1,0
season,2,0
moron,1,0
fail,1,0
distanc,1,0
lime,1,0
bug,1,0
enhanc,1,0
black,4,0
carri,1,0
buy,1,0
groceri,1,0
hey,1,0
trumper,1,0
whitehousebrief,1,0
obscen,3,0
wealth,3,0
royal,3,0
queen,3,0
windsor,3,0
castl,3,0
amaz,1,0
high,4,0
risk,1,0
stuff,2,0
diabet,1,0
yet,1,0
claim,3,0
cameraman,1,0
boss,1,0
low,2,0
tempt,2,0
island,183,0
quarantin,3,0
five,1,0
concert,1,0
least,1,0
dont,1,0
skinni,1,0
liter,1131,0
cardi,1126,0
voic,1126,0
glen,177,0
park,177,0
rochel,177,0
york,177,0
drive,177,0
legend,2,0
onc,2,0
askellen,1,0
repli,1,0
simon,1,0
jay,1,0
palestinian,1,0
child,1,0
mila,1,0
bethlehem,1,0
defeat,1,0
return,1,0
parent,1,0
bosom,1,0
honestli,1,0
didn,3,0
uk,1,0
coronavirusuk,1,0
brexit,1,0
conserv,1,0
maga,1,0
landslid,1,0
